Lamp_ID,Zone,Lamp_Type,Lamp_Status,Operating_Hours,Energy_Consumption,Date_Time,Voltage,Current,Previous_Faults,Lamp_Age,Fault_Status
SL-1025,Tech Park Sector 5,Solar-Hybrid LED,Active,1950.2,11.80,2026-08-13 04:30:00,228.4,0.20,0,7,0
SL-1026,Downtown Commercial,LED (Smart),Active,5320.1,35.40,2026-08-13 05:00:00,223.9,0.39,0,20,0
SL-1027,Downtown Commercial,LED (Smart),Active,4110.8,32.80,2026-08-13 05:00:00,224.7,0.38,0,15,0
SL-1028,North Residential,LED (Smart),Active,2780.0,24.90,2026-08-13 05:30:00,225.8,0.35,0,9,0
SL-1029,Industrial Corridor,HPS (High Pressure Sodium),Active,11890.5,103.20,2026-08-13 06:00:00,219.0,1.24,2,52,1
SL-1030,Harbor Waterfront,LED (Smart),Active,7200.4,32.50,2026-08-13 06:00:00,222.0,0.40,1,30,0
SL-1031,Suburban Ring,Solar-Hybrid LED,Active,1650.0,12.00,2026-08-13 06:30:00,227.8,0.21,0,5,0
SL-1032,Tech Park Sector 5,LED (Smart),Active,3850.2,25.40,2026-08-13 07:00:00,226.5,0.35,0,16,0
SL-1033,Downtown Commercial,Metal Halide,Maintenance Required,15800.0,128.50,2026-08-13 07:00:00,185.0,1.75,4,68,1
SL-1034,North Residential,LED (Smart),Active,3620.4,27.50,2026-08-13 07:30:00,225.5,0.36,0,14,0
SL-1035,Industrial Corridor,Metal Halide,Active,12750.8,112.00,2026-08-13 08:00:00,221.2,1.31,2,55,1
SL-1036,Downtown Commercial,HPS (High Pressure Sodium),Active,9950.0,96.40,2026-08-13 08:00:00,223.1,1.18,1,45,0
SL-1037,Harbor Waterfront,HPS (High Pressure Sodium),Maintenance Required,13400.6,108.90,2026-08-13 08:30:00,192.5,1.40,3,59,1
SL-1038,Suburban Ring,LED (Smart),Active,4890.3,28.90,2026-08-13 09:00:00,224.0,0.37,0,21,0
SL-1039,Tech Park Sector 5,Solar-Hybrid LED,Active,2400.0,13.10,2026-08-13 09:00:00,227.9,0.22,0,9,0
SL-1040,Downtown Commercial,LED (Smart),Active,5900.5,36.10,2026-08-13 09:30:00,224.2,0.40,0,23,0
SL-1041,North Residential,LED (Smart),Active,3120.0,26.20,2026-08-13 10:00:00,226.1,0.36,0,11,0
SL-1042,Industrial Corridor,LED (Smart),Active,6250.0,37.20,2026-08-13 10:00:00,222.8,0.41,1,26,0
SL-1043,Harbor Waterfront,Metal Halide,Maintenance Required,16100.2,126.80,2026-08-13 10:30:00,187.5,1.70,5,70,1
SL-1044,Suburban Ring,HPS (High Pressure Sodium),Active,10200.0,92.50,2026-08-13 11:00:00,220.5,1.19,2,47,1
SL-1045,Downtown Commercial,LED (Smart),Active,4750.4,34.80,2026-08-13 11:00:00,224.6,0.39,0,19,0
SL-1046,Tech Park Sector 5,LED (Smart),Active,3150.0,23.90,2026-08-13 11:30:00,227.1,0.34,0,12,0
SL-1047,North Residential,LED (Smart),Active,2450.8,24.10,2026-08-13 12:00:00,226.4,0.35,0,8,0
SL-1048,Industrial Corridor,HPS (High Pressure Sodium),Maintenance Required,14900.0,114.20,2026-08-13 12:00:00,190.1,1.45,4,63,1
SL-1049,Downtown Commercial,HPS (High Pressure Sodium),Active,11500.3,104.00,2026-08-13 12:30:00,221.0,1.23,2,53,1
SL-1050,Harbor Waterfront,LED (Smart),Active,5600.0,30.80,2026-08-13 13:00:00,223.0,0.38,0,25,0
SL-1051,Suburban Ring,LED (Smart),Active,3900.2,27.80,2026-08-13 13:00:00,224.8,0.37,0,14,0
SL-1052,Tech Park Sector 5,Solar-Hybrid LED,Active,2050.5,12.10,2026-08-13 13:30:00,228.0,0.21,0,7,0
SL-1053,Downtown Commercial,Metal Halide,Active,11900.0,107.50,2026-08-13 14:00:00,220.8,1.28,1,51,0
SL-1054,North Residential,Solar-Hybrid LED,Active,1720.0,12.80,2026-08-13 14:00:00,227.0,0.22,0,5,0
SL-1055,Industrial Corridor,Metal Halide,Maintenance Required,15200.4,121.50,2026-08-13 14:30:00,189.2,1.68,4,65,1
SL-1056,Downtown Commercial,LED (Smart),Active,4350.0,33.50,2026-08-13 15:00:00,225.0,0.38,0,17,0
SL-1057,Harbor Waterfront,HPS (High Pressure Sodium),Active,9400.2,91.80,2026-08-13 15:00:00,222.4,1.16,1,44,0
SL-1058,Suburban Ring,HPS (High Pressure Sodium),Active,11050.0,98.20,2026-08-13 15:30:00,219.8,1.22,2,51,1
SL-1059,Tech Park Sector 5,LED (Smart),Active,4100.8,26.10,2026-08-13 16:00:00,226.3,0.35,0,18,0
SL-1060,North Residential,LED (Smart),Active,3380.0,26.90,2026-08-13 16:00:00,225.9,0.36,0,13,0
SL-1061,Industrial Corridor,LED (Smart),Active,5100.2,35.60,2026-08-13 16:30:00,223.5,0.40,0,21,0
SL-1062,Downtown Commercial,HPS (High Pressure Sodium),Maintenance Required,13800.0,110.00,2026-08-13 17:00:00,189.5,1.42,3,61,1
SL-1063,Harbor Waterfront,Metal Halide,Active,12500.5,111.40,2026-08-13 17:00:00,220.2,1.30,2,54,1
SL-1064,Suburban Ring,LED (Smart),Active,4500.0,28.50,2026-08-13 17:30:00,224.5,0.37,0,18,0
SL-1065,Tech Park Sector 5,Solar-Hybrid LED,Active,2300.0,12.90,2026-08-13 18:00:00,228.2,0.22,0,8,0
SL-1066,Downtown Commercial,LED (Smart),Active,6400.0,37.20,2026-08-13 18:00:00,223.8,0.41,1,27,0
SL-1067,North Residential,LED (Smart),Active,2950.5,25.30,2026-08-13 18:30:00,226.0,0.35,0,11,0
SL-1068,Industrial Corridor,HPS (High Pressure Sodium),Active,10500.0,97.50,2026-08-13 19:00:00,221.5,1.20,1,49,0
SL-1069,Harbor Waterfront,LED (Smart),Active,6150.8,31.90,2026-08-13 19:00:00,222.6,0.39,0,26,0
SL-1070,Suburban Ring,Solar-Hybrid LED,Active,1580.0,11.50,2026-08-13 19:30:00,227.5,0.21,0,4,0
SL-1071,Downtown Commercial,Metal Halide,Maintenance Required,16500.0,132.00,2026-08-13 20:00:00,184.2,1.80,5,72,1
SL-1072,Tech Park Sector 5,LED (Smart),Active,3600.0,24.80,2026-08-13 20:00:00,226.8,0.34,0,15,0
SL-1073,North Residential,LED (Smart),Active,3750.2,27.80,2026-08-13 20:30:00,225.2,0.36,0,15,0
SL-1074,Industrial Corridor,Metal Halide,Active,14100.0,116.80,2026-08-13 21:00:00,218.2,1.36,3,61,1
SL-1075,Downtown Commercial,HPS (High Pressure Sodium),Active,11800.5,105.00,2026-08-13 21:00:00,220.5,1.25,2,55,1
SL-1076,Harbor Waterfront,HPS (High Pressure Sodium),Maintenance Required,12900.0,106.50,2026-08-13 21:30:00,191.0,1.39,3,57,1
SL-1077,Suburban Ring,LED (Smart),Active,5400.0,29.80,2026-08-13 22:00:00,223.9,0.38,1,23,0
SL-1078,Tech Park Sector 5,Solar-Hybrid LED,Active,1880.0,11.40,2026-08-13 22:00:00,228.5,0.20,0,6,0
SL-1079,Downtown Commercial,LED (Smart),Active,4850.0,35.00,2026-08-13 22:30:00,224.4,0.39,0,19,0
SL-1080,North Residential,LED (Smart),Active,3250.0,26.50,2026-08-13 23:00:00,226.1,0.36,0,12,0
SL-1081,Industrial Corridor,LED (Smart),Active,5800.0,36.80,2026-08-13 23:00:00,223.1,0.40,0,24,0
SL-1082,Harbor Waterfront,Metal Halide,Maintenance Required,15900.0,125.50,2026-08-13 23:30:00,186.8,1.71,4,69,1
SL-1083,Suburban Ring,HPS (High Pressure Sodium),Active,9600.0,89.50,2026-08-14 00:00:00,221.8,1.17,1,45,0
SL-1084,Downtown Commercial,HPS (High Pressure Sodium),Active,10700.0,99.20,2026-08-14 00:00:00,222.0,1.21,1,48,0
SL-1085,Tech Park Sector 5,LED (Smart),Active,2800.0,23.10,2026-08-14 00:30:00,227.4,0.33,0,10,0
SL-1086,North Residential,Solar-Hybrid LED,Active,1920.0,13.50,2026-08-14 01:00:00,226.6,0.22,0,7,0
SL-1087,Industrial Corridor,HPS (High Pressure Sodium),Maintenance Required,13500.0,109.00,2026-08-14 01:00:00,189.8,1.41,3,58,1
SL-1088,Downtown Commercial,LED (Smart),Active,3950.0,32.20,2026-08-14 01:30:00,225.3,0.37,0,14,0
SL-1089,Harbor Waterfront,LED (Smart),Active,6950.0,32.20,2026-08-14 02:00:00,221.8,0.39,1,29,0
SL-1090,Suburban Ring,LED (Smart),Active,4350.0,28.40,2026-08-14 02:00:00,224.3,0.37,0,17,0
SL-1091,Tech Park Sector 5,Solar-Hybrid LED,Active,2250.0,12.70,2026-08-14 02:30:00,228.1,0.21,0,8,0
SL-1092,Downtown Commercial,Metal Halide,Active,12800.0,109.00,2026-08-14 03:00:00,220.5,1.29,2,56,1
SL-1093,North Residential,LED (Smart),Active,3450.0,26.80,2026-08-14 03:00:00,225.8,0.36,0,13,0
SL-1094,Industrial Corridor,Metal Halide,Maintenance Required,16800.0,135.00,2026-08-14 03:30:00,183.5,1.82,5,71,1
SL-1095,Downtown Commercial,LED (Smart),Active,5600.0,35.90,2026-08-14 04:00:00,224.1,0.40,0,22,0
SL-1096,Harbor Waterfront,HPS (High Pressure Sodium),Active,8800.0,85.20,2026-08-14 04:00:00,223.0,1.12,1,41,0
SL-1097,Suburban Ring,HPS (High Pressure Sodium),Maintenance Required,12400.0,104.50,2026-08-14 04:30:00,192.0,1.38,3,56,1
SL-1098,Tech Park Sector 5,LED (Smart),Active,3500.0,24.50,2026-08-14 05:00:00,226.7,0.34,0,14,0
SL-1099,North Residential,LED (Smart),Active,2650.0,24.50,2026-08-14 05:00:00,226.3,0.35,0,9,0
SL-1100,Industrial Corridor,LED (Smart),Active,4700.0,34.50,2026-08-14 05:30:00,224.0,0.39,0,18,0
SL-1101,Downtown Commercial,LED (Smart),Active,4600.0,34.80,2026-08-14 06:00:00,224.2,0.39,0,18,0
SL-1102,Downtown Commercial,HPS (High Pressure Sodium),Active,11400.0,103.20,2026-08-14 06:00:00,221.5,1.23,2,55,1
SL-1103,Industrial Corridor,Metal Halide,Maintenance Required,14800.0,120.00,2026-08-14 06:30:00,187.9,1.66,4,63,1
SL-1104,North Residential,LED (Smart),Active,3300.0,26.90,2026-08-14 07:00:00,226.0,0.36,0,13,0
SL-1105,Tech Park Sector 5,Solar-Hybrid LED,Active,2200.0,12.60,2026-08-14 07:00:00,228.0,0.21,0,8,0
SL-1106,Harbor Waterfront,HPS (High Pressure Sodium),Maintenance Required,10100.0,95.50,2026-08-14 07:30:00,190.8,1.39,3,49,1
SL-1107,Suburban Ring,LED (Smart),Active,5250.0,29.60,2026-08-14 08:00:00,223.8,0.37,1,23,0
SL-1108,Downtown Commercial,Metal Halide,Active,13400.0,111.50,2026-08-14 08:00:00,220.2,1.31,2,59,1
SL-1109,North Residential,LED (Smart),Active,2920.0,25.20,2026-08-14 08:30:00,225.5,0.35,0,10,0
SL-1110,Industrial Corridor,HPS (High Pressure Sodium),Active,10950.0,100.50,2026-08-14 09:00:00,218.8,1.26,3,51,1
SL-1111,Downtown Commercial,LED (Smart),Active,6200.0,36.80,2026-08-14 09:00:00,224.1,0.40,0,25,0
SL-1112,Tech Park Sector 5,LED (Smart),Active,3450.0,24.30,2026-08-14 09:30:00,227.1,0.34,0,14,0
SL-1113,Harbor Waterfront,Metal Halide,Maintenance Required,15600.0,124.80,2026-08-14 10:00:00,186.0,1.73,5,67,1
SL-1114,Suburban Ring,HPS (High Pressure Sodium),Active,9100.0,87.20,2026-08-14 10:00:00,222.0,1.15,1,43,0
SL-1115,North Residential,Solar-Hybrid LED,Active,1850.0,13.40,2026-08-14 10:30:00,226.7,0.22,0,6,0
SL-1116,Downtown Commercial,HPS (High Pressure Sodium),Active,12300.0,106.50,2026-08-14 11:00:00,219.2,1.27,3,57,1
SL-1117,Industrial Corridor,LED (Smart),Active,5050.0,35.30,2026-08-14 11:00:00,223.7,0.39,0,20,0
SL-1118,Tech Park Sector 5,LED (Smart),Active,3050.0,23.70,2026-08-14 11:30:00,227.4,0.33,0,12,0
SL-1119,Downtown Commercial,LED (Smart),Active,4300.0,33.30,2026-08-14 12:00:00,225.0,0.38,0,17,0
SL-1120,Harbor Waterfront,LED (Smart),Active,6900.0,31.60,2026-08-14 12:00:00,221.6,0.39,1,29,0
SL-1121,Suburban Ring,LED (Smart),Active,4200.0,28.30,2026-08-14 12:30:00,224.3,0.37,0,16,0
SL-1122,Industrial Corridor,Metal Halide,Active,14050.0,115.80,2026-08-14 13:00:00,218.0,1.35,3,61,1
SL-1123,North Residential,LED (Smart),Active,3550.0,27.10,2026-08-14 13:00:00,225.9,0.36,0,14,0
SL-1124,Downtown Commercial,HPS (High Pressure Sodium),Maintenance Required,14350.0,112.50,2026-08-14 13:30:00,188.0,1.45,4,65,1
SL-1125,Tech Park Sector 5,Solar-Hybrid LED,Active,2000.0,11.90,2026-08-14 14:00:00,228.3,0.20,0,7,0
SL-1126,Downtown Commercial,LED (Smart),Active,5400.0,35.60,2026-08-14 14:00:00,224.0,0.39,0,21,0
SL-1127,Downtown Commercial,LED (Smart),Active,4180.0,32.90,2026-08-14 14:30:00,224.8,0.38,0,16,0
SL-1128,North Residential,LED (Smart),Active,2820.0,25.00,2026-08-14 15:00:00,225.7,0.35,0,10,0
SL-1129,Industrial Corridor,HPS (High Pressure Sodium),Active,11980.0,103.80,2026-08-14 15:00:00,219.1,1.25,2,53,1
SL-1130,Harbor Waterfront,LED (Smart),Active,7300.0,32.70,2026-08-14 15:30:00,222.1,0.40,1,31,0
SL-1131,Suburban Ring,Solar-Hybrid LED,Active,1700.0,12.20,2026-08-14 16:00:00,227.7,0.21,0,5,0
SL-1132,Tech Park Sector 5,LED (Smart),Active,3900.0,25.60,2026-08-14 16:00:00,226.6,0.35,0,17,0
SL-1133,Downtown Commercial,Metal Halide,Maintenance Required,15950.0,129.20,2026-08-14 16:30:00,184.8,1.76,4,69,1
SL-1134,North Residential,LED (Smart),Active,3680.0,27.60,2026-08-14 17:00:00,225.4,0.36,0,15,0
SL-1135,Industrial Corridor,Metal Halide,Active,12900.0,112.80,2026-08-14 17:00:00,221.0,1.32,2,56,1
SL-1136,Downtown Commercial,HPS (High Pressure Sodium),Active,10100.0,97.10,2026-08-14 17:30:00,223.0,1.19,1,46,0
SL-1137,Harbor Waterfront,HPS (High Pressure Sodium),Maintenance Required,13600.0,109.50,2026-08-14 18:00:00,192.2,1.41,3,60,1
SL-1138,Suburban Ring,LED (Smart),Active,4950.0,29.10,2026-08-14 18:00:00,224.1,0.37,0,22,0
SL-1139,Tech Park Sector 5,Solar-Hybrid LED,Active,2450.0,13.20,2026-08-14 18:30:00,227.8,0.22,0,9,0
SL-1140,Downtown Commercial,LED (Smart),Active,6000.0,36.30,2026-08-14 19:00:00,224.3,0.40,0,24,0
SL-1141,North Residential,LED (Smart),Active,3180.0,26.40,2026-08-14 19:00:00,226.0,0.36,0,12,0
SL-1142,Industrial Corridor,LED (Smart),Active,6350.0,37.50,2026-08-14 19:30:00,222.7,0.41,1,27,0
SL-1143,Harbor Waterfront,Metal Halide,Maintenance Required,16300.0,127.50,2026-08-14 20:00:00,187.1,1.71,5,71,1
SL-1144,Suburban Ring,HPS (High Pressure Sodium),Active,10350.0,93.20,2026-08-14 20:00:00,220.3,1.20,2,48,1
SL-1145,Downtown Commercial,LED (Smart),Active,4820.0,34.90,2026-08-14 20:30:00,224.5,0.39,0,20,0
SL-1146,Tech Park Sector 5,LED (Smart),Active,3200.0,24.00,2026-08-14 21:00:00,227.0,0.34,0,13,0
SL-1147,North Residential,LED (Smart),Active,2500.0,24.20,2026-08-14 21:00:00,226.3,0.35,0,9,0
SL-1148,Industrial Corridor,HPS (High Pressure Sodium),Maintenance Required,15100.0,115.00,2026-08-14 21:30:00,189.9,1.46,4,64,1
SL-1149,Downtown Commercial,HPS (High Pressure Sodium),Active,11650.0,104.60,2026-08-14 22:00:00,220.8,1.24,2,54,1
SL-1150,Harbor Waterfront,LED (Smart),Active,5700.0,31.00,2026-08-14 22:00:00,222.9,0.38,0,26,0
SL-1151,Suburban Ring,LED (Smart),Active,4000.0,28.00,2026-08-14 22:30:00,224.6,0.37,0,15,0
SL-1152,Tech Park Sector 5,Solar-Hybrid LED,Active,2100.0,12.30,2026-08-14 23:00:00,227.9,0.21,0,7,0
SL-1153,Downtown Commercial,Metal Halide,Active,12100.0,108.20,2026-08-14 23:00:00,220.6,1.29,1,52,0
SL-1154,North Residential,Solar-Hybrid LED,Active,1760.0,13.00,2026-08-14 23:30:00,226.9,0.22,0,6,0
SL-1155,Industrial Corridor,Metal Halide,Maintenance Required,15400.0,122.20,2026-08-15 00:00:00,188.9,1.69,4,66,1
SL-1156,Downtown Commercial,LED (Smart),Active,4420.0,33.70,2026-08-15 00:00:00,224.9,0.38,0,18,0
SL-1157,Harbor Waterfront,HPS (High Pressure Sodium),Active,9550.0,92.50,2026-08-15 00:30:00,222.2,1.17,1,45,0
SL-1158,Suburban Ring,HPS (High Pressure Sodium),Active,11200.0,98.90,2026-08-15 01:00:00,219.6,1.23,2,52,1
SL-1159,Tech Park Sector 5,LED (Smart),Active,4180.0,26.30,2026-08-15 01:00:00,226.2,0.35,0,19,0
SL-1160,North Residential,LED (Smart),Active,3420.0,27.00,2026-08-15 01:30:00,225.8,0.36,0,14,0
SL-1161,Industrial Corridor,LED (Smart),Active,5180.0,35.80,2026-08-15 02:00:00,223.4,0.40,0,22,0
SL-1162,Downtown Commercial,HPS (High Pressure Sodium),Maintenance Required,13950.0,110.80,2026-08-15 02:00:00,189.2,1.43,3,62,1
SL-1163,Harbor Waterfront,Metal Halide,Active,12680.0,111.90,2026-08-15 02:30:00,220.0,1.31,2,55,1
SL-1164,Suburban Ring,LED (Smart),Active,4580.0,28.70,2026-08-15 03:00:00,224.4,0.37,0,19,0
SL-1165,Tech Park Sector 5,Solar-Hybrid LED,Active,2350.0,13.00,2026-08-15 03:00:00,228.1,0.22,0,8,0
SL-1166,Downtown Commercial,LED (Smart),Active,6480.0,37.40,2026-08-15 03:30:00,223.7,0.41,1,28,0
SL-1167,North Residential,LED (Smart),Active,2990.0,25.40,2026-08-15 04:00:00,225.9,0.35,0,12,0
SL-1168,Industrial Corridor,HPS (High Pressure Sodium),Active,10650.0,98.10,2026-08-15 04:00:00,221.3,1.21,1,50,0
SL-1169,Harbor Waterfront,LED (Smart),Active,6220.0,32.00,2026-08-15 04:30:00,222.5,0.39,0,27,0
SL-1170,Suburban Ring,Solar-Hybrid LED,Active,1620.0,11.70,2026-08-15 05:00:00,227.4,0.21,0,5,0
SL-1171,Downtown Commercial,Metal Halide,Maintenance Required,16650.0,132.80,2026-08-15 05:00:00,183.9,1.81,5,73,1
SL-1172,Tech Park Sector 5,LED (Smart),Active,3680.0,24.90,2026-08-15 05:30:00,226.7,0.34,0,16,0
SL-1173,North Residential,LED (Smart),Active,3820.0,27.90,2026-08-15 06:00:00,225.1,0.36,0,16,0
SL-1174,Industrial Corridor,Metal Halide,Active,14250.0,117.20,2026-08-15 06:00:00,218.0,1.37,3,62,1
SL-1175,Downtown Commercial,HPS (High Pressure Sodium),Active,11950.0,105.50,2026-08-15 06:30:00,220.3,1.26,2,56,1
SL-1176,Harbor Waterfront,HPS (High Pressure Sodium),Maintenance Required,13050.0,107.10,2026-08-15 07:00:00,190.7,1.40,3,58,1
SL-1177,Suburban Ring,LED (Smart),Active,5480.0,30.00,2026-08-15 07:00:00,223.7,0.38,1,24,0
SL-1178,Tech Park Sector 5,Solar-Hybrid LED,Active,1920.0,11.60,2026-08-15 07:30:00,228.4,0.20,0,6,0
SL-1179,Downtown Commercial,LED (Smart),Active,4920.0,35.20,2026-08-15 08:00:00,224.3,0.39,0,20,0
SL-1180,North Residential,LED (Smart),Active,3300.0,26.60,2026-08-15 08:00:00,226.0,0.36,0,13,0
SL-1181,Industrial Corridor,LED (Smart),Active,5900.0,37.00,2026-08-15 08:30:00,223.0,0.40,0,25,0
SL-1182,Harbor Waterfront,Metal Halide,Maintenance Required,16050.0,126.10,2026-08-15 09:00:00,186.5,1.72,4,70,1
SL-1183,Suburban Ring,HPS (High Pressure Sodium),Active,9750.0,90.10,2026-08-15 09:00:00,221.6,1.18,1,46,0
SL-1184,Downtown Commercial,HPS (High Pressure Sodium),Active,10850.0,99.80,2026-08-15 09:30:00,221.8,1.22,1,49,0
SL-1185,Tech Park Sector 5,LED (Smart),Active,2880.0,23.30,2026-08-15 10:00:00,227.3,0.33,0,11,0
SL-1186,North Residential,Solar-Hybrid LED,Active,1960.0,13.60,2026-08-15 10:00:00,226.5,0.22,0,7,0
SL-1187,Industrial Corridor,HPS (High Pressure Sodium),Maintenance Required,13650.0,109.60,2026-08-15 10:30:00,189.5,1.42,3,59,1
SL-1188,Downtown Commercial,LED (Smart),Active,4020.0,32.40,2026-08-15 11:00:00,225.2,0.37,0,15,0
SL-1189,Harbor Waterfront,LED (Smart),Active,7020.0,32.30,2026-08-15 11:00:00,221.7,0.39,1,30,0
SL-1190,Suburban Ring,LED (Smart),Active,4420.0,28.60,2026-08-15 11:30:00,224.2,0.37,0,18,0
SL-1191,Tech Park Sector 5,Solar-Hybrid LED,Active,2290.0,12.80,2026-08-15 12:00:00,228.0,0.21,0,8,0
SL-1192,Downtown Commercial,Metal Halide,Active,12950.0,109.60,2026-08-15 12:00:00,220.3,1.30,2,57,1
SL-1193,North Residential,LED (Smart),Active,3510.0,26.90,2026-08-15 12:30:00,225.7,0.36,0,14,0
SL-1194,Industrial Corridor,Metal Halide,Maintenance Required,16950.0,135.80,2026-08-15 13:00:00,183.1,1.83,5,72,1
SL-1195,Downtown Commercial,LED (Smart),Active,5680.0,36.10,2026-08-15 13:00:00,224.0,0.40,0,23,0
SL-1196,Harbor Waterfront,HPS (High Pressure Sodium),Active,8950.0,85.80,2026-08-15 13:30:00,222.8,1.13,1,42,0
SL-1197,Suburban Ring,HPS (High Pressure Sodium),Maintenance Required,12550.0,105.10,2026-08-15 14:00:00,191.7,1.39,3,57,1
SL-1198,Tech Park Sector 5,LED (Smart),Active,3580.0,24.70,2026-08-15 14:00:00,226.6,0.34,0,15,0
SL-1199,North Residential,LED (Smart),Active,2700.0,24.70,2026-08-15 14:30:00,226.2,0.35,0,10,0
SL-1200,Industrial Corridor,LED (Smart),Active,4780.0,34.70,2026-08-15 15:00:00,223.9,0.39,0,19,0
SL-1201,Downtown Commercial,LED (Smart),Active,4680.0,35.00,2026-08-15 15:00:00,224.1,0.39,0,19,0
SL-1202,Downtown Commercial,HPS (High Pressure Sodium),Active,11550.0,103.80,2026-08-15 15:30:00,221.3,1.24,2,56,1
SL-1203,Industrial Corridor,Metal Halide,Maintenance Required,14950.0,120.60,2026-08-15 16:00:00,187.5,1.67,4,64,1
SL-1204,North Residential,LED (Smart),Active,3360.0,27.00,2026-08-15 16:00:00,225.9,0.36,0,14,0
SL-1205,Tech Park Sector 5,Solar-Hybrid LED,Active,2240.0,12.70,2026-08-15 16:30:00,227.9,0.21,0,8,0
SL-1206,Harbor Waterfront,HPS (High Pressure Sodium),Maintenance Required,10250.0,96.00,2026-08-15 17:00:00,190.5,1.40,3,50,1
SL-1207,Suburban Ring,LED (Smart),Active,5320.0,29.80,2026-08-15 17:00:00,223.6,0.37,1,24,0
SL-1208,Downtown Commercial,Metal Halide,Active,13550.0,112.00,2026-08-15 17:30:00,220.1,1.32,2,60,1
SL-1209,North Residential,LED (Smart),Active,2960.0,25.30,2026-08-15 18:00:00,225.4,0.35,0,11,0
SL-1210,Industrial Corridor,HPS (High Pressure Sodium),Active,11080.0,101.00,2026-08-15 18:00:00,218.6,1.27,3,52,1
SL-1211,Downtown Commercial,LED (Smart),Active,6280.0,37.00,2026-08-15 18:30:00,224.0,0.40,0,26,0
SL-1212,Tech Park Sector 5,LED (Smart),Active,3500.0,24.40,2026-08-15 19:00:00,227.0,0.34,0,15,0
SL-1213,Harbor Waterfront,Metal Halide,Maintenance Required,15750.0,125.30,2026-08-15 19:00:00,185.8,1.74,5,68,1
SL-1214,Suburban Ring,HPS (High Pressure Sodium),Active,9250.0,87.80,2026-08-15 19:30:00,221.9,1.16,1,44,0
SL-1215,North Residential,Solar-Hybrid LED,Active,1890.0,13.50,2026-08-15 20:00:00,226.6,0.22,0,7,0
SL-1216,Downtown Commercial,HPS (High Pressure Sodium),Active,12450.0,107.00,2026-08-15 20:00:00,219.0,1.28,3,58,1
SL-1217,Industrial Corridor,LED (Smart),Active,5120.0,35.50,2026-08-15 20:30:00,223.6,0.39,0,21,0
