Lamp_ID,Zone,Lamp_Type,Lamp_Status,Operating_Hours,Energy_Consumption,Date_Time,Voltage,Current,Previous_Faults,Lamp_Age,Fault_Status
SL-1024,North Residential,HPS (High Pressure Sodium),Active,5924.6,82.9,2026-07-17 23:24:11,224.1,1.19,3,55,0
SL-1025,Industrial Corridor,HPS (High Pressure Sodium),Active,12342.5,86.21,2026-08-08 13:24:11,227.0,1.11,2,60,0
SL-1026,North Residential,HPS (High Pressure Sodium),Active,8424.9,101.58,2026-07-29 21:24:11,220.3,1.18,0,57,0
SL-1027,Industrial Corridor,HPS (High Pressure Sodium),Active,12694.2,98.48,2026-07-07 10:24:11,222.3,1.22,1,59,0
SL-1028,Harbor Waterfront,LED (Smart),Maintenance Required,5270.9,28.52,2026-08-15 06:24:11,192.2,0.54,0,22,1
SL-1029,Industrial Corridor,LED (Smart),Maintenance Required,4774.3,45.55,2026-07-10 17:24:11,226.5,0.43,1,26,1
SL-1030,Downtown Commercial,Metal Halide,Active,12385.9,38.52,2026-07-25 06:24:11,222.9,0.58,3,25,0
SL-1031,Downtown Commercial,LED (Smart),Active,7455.6,39.84,2026-06-27 00:24:11,228.8,0.41,0,16,0
SL-1032,Industrial Corridor,LED (Smart),Active,5203.4,35.15,2026-08-12 01:24:11,225.1,0.41,0,36,0
SL-1033,Suburban Ring,LED (Smart),Inactive,7546.5,22.75,2026-07-21 16:24:11,227.1,0.3,0,15,0
SL-1034,Tech Park Sector 5,HPS (High Pressure Sodium),Active,13819.4,90.84,2026-07-18 13:24:11,218.3,1.05,0,56,0
SL-1035,Industrial Corridor,Solar-Hybrid LED,Active,5141.3,21.4,2026-08-17 17:24:11,224.5,0.12,0,14,0
SL-1036,Tech Park Sector 5,Solar-Hybrid LED,Active,3989.9,12.16,2026-08-24 12:24:11,227.8,0.25,0,26,0
SL-1037,Tech Park Sector 5,HPS (High Pressure Sodium),Active,13353.4,91.72,2026-08-10 10:24:11,234.3,1.14,1,26,0
SL-1038,Tech Park Sector 5,LED (Smart),Active,6705.2,22.65,2026-07-31 12:24:11,217.1,0.42,0,37,0
SL-1039,Suburban Ring,LED (Smart),Active,7202.0,27.84,2026-08-06 03:24:11,226.7,0.26,0,20,0
SL-1040,Industrial Corridor,HPS (High Pressure Sodium),Active,10416.5,101.34,2026-07-26 05:24:11,220.8,1.21,0,34,0
SL-1041,North Residential,LED (Smart),Active,5707.4,21.96,2026-09-05 02:24:11,222.5,0.5,0,9,0
SL-1042,Suburban Ring,Solar-Hybrid LED,Active,6332.4,12.62,2026-09-18 01:24:11,222.2,0.15,0,20,0
SL-1043,Downtown Commercial,LED (Smart),,7260.4,40.68,2026-07-21 21:24:11,223.4,0.33,0,10,0
SL-1044,Downtown Commercial,HPS (High Pressure Sodium),Active,10045.6,86.38,2026-09-17 13:24:11,229.1,1.15,2,48,0
SL-1045,North Residential,Metal Halide,Active,12977.3,33.78,2026-09-07 11:24:11,227.2,0.49,0,57,0
SL-1046,Industrial Corridor,LED (Smart),Active,6235.5,46.31,2026-08-24 13:24:11,225.7,0.38,0,39,0
SL-1047,Downtown Commercial,LED (Smart),Active,7715.3,36.68,2026-07-04 15:24:11,233.3,0.37,0,22,0
SL-1048,North Residential,LED (Smart),Active,6611.3,30.67,2026-07-17 17:24:11,222.4,0.47,0,8,0
SL-1049,Suburban Ring,LED (Smart),Active,,27.22,2026-09-03 22:24:11,225.4,0.45,1,14,0
SL-1050,Downtown Commercial,LED (Smart),Active,5976.1,45.77,2026-09-03 18:24:11,219.2,0.43,1,8,0
SL-1051,Industrial Corridor,HPS (High Pressure Sodium),Active,10238.9,104.26,2026-06-29 14:24:11,229.0,1.1,3,40,0
SL-1052,Downtown Commercial,Metal Halide,Active,13764.6,50.27,2026-07-21 10:24:11,224.9,0.56,1,52,0
SL-1053,Harbor Waterfront,LED (Smart),Active,4034.4,23.07,2026-08-09 15:24:11,223.8,0.35,0,16,0
SL-1054,Tech Park Sector 5,HPS (High Pressure Sodium),Active,11295.2,54.92,2026-07-17 02:24:11,232.1,1.11,2,59,0
SL-1055,Downtown Commercial,LED (Smart),Active,2097.9,39.24,2026-08-14 01:24:11,230.4,0.34,0,15,0
SL-1056,Industrial Corridor,LED (Smart),Active,4075.6,28.36,2026-07-09 08:24:11,223.1,0.34,1,24,0
SL-1057,Tech Park Sector 5,LED (Smart),Active,3557.3,11.87,2026-08-21 23:24:11,218.0,0.39,1,28,0
SL-1058,Industrial Corridor,LED (Smart),Active,6669.9,35.49,2026-09-13 07:24:11,221.9,0.29,0,27,0
SL-1059,Downtown Commercial,LED (Smart),Active,1867.3,34.09,2026-08-08 03:24:11,225.9,0.35,0,35,0
SL-1060,Harbor Waterfront,LED (Smart),Active,2037.6,26.49,2026-08-17 18:24:11,237.6,0.34,0,5,0
SL-1061,Harbor Waterfront,Solar-Hybrid LED,Inactive,6458.9,11.15,2026-07-01 13:24:11,228.2,0.19,0,35,0
SL-1062,Tech Park Sector 5,Metal Halide,Active,13616.0,20.81,2026-06-25 12:24:11,220.5,0.61,0,39,0
SL-1063,Industrial Corridor,LED (Smart),Active,6688.2,32.73,2026-07-24 11:24:11,229.3,0.36,0,8,0
SL-1064,Downtown Commercial,LED (Smart),Active,5354.0,36.08,2026-06-28 00:24:11,217.3,0.37,0,20,0
SL-1065,Harbor Waterfront,LED (Smart),Active,6872.6,30.66,2026-08-15 18:24:11,222.9,0.48,0,37,0
SL-1066,North Residential,Metal Halide,Active,8630.0,25.4,2026-07-30 04:24:11,225.9,0.45,1,69,0
SL-1067,Suburban Ring,LED (Smart),Active,7501.7,26.59,2026-08-29 08:24:11,226.3,0.4,0,36,0
SL-1068,North Residential,HPS (High Pressure Sodium),Active,5605.1,65.94,2026-07-06 06:24:11,223.2,1.21,2,63,0
SL-1069,Tech Park Sector 5,HPS (High Pressure Sodium),Active,8013.8,77.46,2026-09-01 19:24:11,228.7,1.23,0,35,0
SL-1070,North Residential,Solar-Hybrid LED,Maintenance Required,6273.3,15.13,2026-08-22 10:24:11,225.6,0.21,0,29,1
SL-1071,Industrial Corridor,HPS (High Pressure Sodium),Active,11479.1,126.08,2026-07-09 11:24:11,220.3,1.13,1,37,0
SL-1072,North Residential,HPS (High Pressure Sodium),Active,12025.3,75.54,2026-08-02 01:24:11,224.1,1.08,1,39,0
SL-1073,Tech Park Sector 5,Metal Halide,Active,7791.4,18.58,2026-08-31 05:24:11,226.3,0.39,1,70,0
SL-1074,Downtown Commercial,Solar-Hybrid LED,Inactive,4358.9,15.46,2026-09-01 18:24:11,221.0,,0,12,1
SL-1075,North Residential,Solar-Hybrid LED,Active,3605.0,15.28,2026-07-02 14:24:11,227.1,0.15,0,13,0
SL-1076,North Residential,HPS (High Pressure Sodium),Active,7419.1,85.0,2026-09-04 15:24:11,227.1,1.06,2,41,0
SL-1077,Downtown Commercial,Metal Halide,Active,9911.7,42.36,2026-09-10 17:24:11,181.3,0.61,3,48,1
SL-1078,North Residential,HPS (High Pressure Sodium),Active,7123.3,74.78,2026-08-03 00:24:11,191.8,1.63,2,28,0
SL-1079,Harbor Waterfront,Metal Halide,Active,8601.8,38.74,2026-08-04 21:24:11,220.8,0.56,1,64,0
SL-1080,Suburban Ring,LED (Smart),Active,4851.7,28.96,2026-07-10 19:24:11,230.8,0.38,0,5,0
SL-1081,Downtown Commercial,Metal Halide,Active,6124.4,40.61,2026-07-13 15:24:11,219.7,0.55,0,33,1
SL-1082,Tech Park Sector 5,LED (Smart),Active,3548.2,32.46,2026-08-14 23:24:11,224.8,0.34,0,13,0
SL-1083,Industrial Corridor,LED (Smart),Active,1136.6,42.35,2026-07-25 13:24:11,225.4,0.35,1,32,0
SL-1084,Downtown Commercial,Metal Halide,Inactive,4883.1,37.61,2026-07-19 11:24:11,222.4,0.54,1,67,0
SL-1085,Downtown Commercial,Metal Halide,Active,8642.6,54.22,2026-08-09 02:24:11,227.9,0.51,1,31,0
SL-1086,Downtown Commercial,HPS (High Pressure Sodium),Inactive,5783.1,118.93,2026-09-03 22:24:11,226.4,1.05,0,59,0
SL-1087,Tech Park Sector 5,HPS (High Pressure Sodium),Active,8537.3,62.54,2026-08-09 02:24:11,224.9,1.13,3,48,0
SL-1088,Tech Park Sector 5,HPS (High Pressure Sodium),Active,12057.9,52.32,2026-07-31 18:24:11,225.4,,0,55,0
SL-1089,Tech Park Sector 5,Solar-Hybrid LED,Active,3038.2,15.16,2026-09-04 05:24:11,231.6,0.24,1,6,0
SL-1090,Tech Park Sector 5,LED (Smart),Active,5006.2,25.52,2026-07-07 22:24:11,229.3,0.51,1,14,0
SL-1091,Tech Park Sector 5,LED (Smart),Active,7621.2,23.45,2026-08-18 20:24:11,222.5,0.3,0,39,0
SL-1092,North Residential,LED (Smart),Active,4336.7,25.56,2026-06-27 23:24:11,217.5,0.47,1,18,0
SL-1093,Industrial Corridor,LED (Smart),Active,7644.4,40.57,2026-07-05 14:24:11,224.2,0.42,0,37,0
SL-1094,Tech Park Sector 5,LED (Smart),Active,7782.6,12.62,2026-08-01 00:24:11,218.1,0.4,0,11,0
SL-1095,Industrial Corridor,HPS (High Pressure Sodium),Active,9151.2,123.92,2026-08-08 10:24:11,219.2,1.12,0,62,0
SL-1096,Downtown Commercial,LED (Smart),Active,8311.9,38.7,2026-08-20 09:24:11,222.3,0.39,0,13,0
SL-1097,Harbor Waterfront,HPS (High Pressure Sodium),Active,12556.3,75.34,2026-07-28 17:24:11,223.6,1.16,1,38,1
SL-1098,Downtown Commercial,HPS (High Pressure Sodium),Maintenance Required,9848.4,63.74,2026-08-06 17:24:11,227.0,1.33,1,35,1
SL-1099,Suburban Ring,LED (Smart),Active,2928.2,27.86,2026-08-09 19:24:11,224.5,0.42,0,11,0
SL-1100,Harbor Waterfront,Solar-Hybrid LED,Active,5949.7,14.76,2026-08-26 17:24:11,219.9,0.17,0,4,0
SL-1101,Downtown Commercial,LED (Smart),Active,4083.0,27.27,2026-07-17 06:24:11,230.4,0.42,1,14,0
SL-1102,North Residential,HPS (High Pressure Sodium),Active,6759.3,67.37,2026-08-12 04:24:11,218.5,1.02,1,44,0
SL-1103,Tech Park Sector 5,Metal Halide,Active,9413.2,42.02,2026-07-31 02:24:11,213.8,0.42,0,32,0
SL-1104,Harbor Waterfront,Metal Halide,Active,11397.3,30.25,2026-08-31 03:24:11,226.3,0.48,0,67,0
SL-1105,Industrial Corridor,LED (Smart),Active,5300.6,33.58,2026-09-05 18:24:11,220.6,0.41,0,33,0
SL-1106,Downtown Commercial,HPS (High Pressure Sodium),Active,9140.4,111.3,2026-08-10 00:24:11,228.6,1.01,0,65,0
SL-1107,Downtown Commercial,HPS (High Pressure Sodium),Active,10459.9,89.57,2026-08-22 18:24:11,228.4,1.2,3,65,0
SL-1108,Tech Park Sector 5,LED (Smart),Active,5743.9,29.05,2026-07-25 22:24:11,221.7,0.48,1,8,0
SL-1109,Suburban Ring,LED (Smart),Active,2334.4,25.92,2026-08-04 18:24:11,232.7,0.4,0,24,0
SL-1110,Tech Park Sector 5,HPS (High Pressure Sodium),Active,6748.1,60.78,2026-07-01 17:24:11,184.9,1.57,0,32,0
SL-1111,North Residential,LED (Smart),Active,6051.0,28.49,2026-07-29 16:24:11,233.8,0.34,0,25,0
SL-1112,Downtown Commercial,LED (Smart),Active,3142.8,37.42,2026-06-29 07:24:11,224.9,0.33,0,19,0
SL-1113,Harbor Waterfront,HPS (High Pressure Sodium),Active,11533.2,63.72,2026-07-07 15:24:11,221.9,1.15,3,29,1
SL-1114,Suburban Ring,HPS (High Pressure Sodium),Active,7275.6,74.17,2026-07-06 02:24:11,227.0,1.25,1,34,0
SL-1115,Tech Park Sector 5,HPS (High Pressure Sodium),Active,10168.5,67.5,2026-08-28 13:24:11,226.4,1.1,2,65,0
SL-1116,North Residential,HPS (High Pressure Sodium),Active,9800.6,62.64,2026-07-02 08:24:11,225.0,1.09,0,24,1
SL-1117,Suburban Ring,HPS (High Pressure Sodium),Active,10104.7,92.71,2026-07-25 22:24:11,220.6,1.12,3,55,1
SL-1118,Harbor Waterfront,LED (Smart),Active,6993.8,32.45,2026-07-14 20:24:11,218.3,0.31,0,5,0
SL-1119,Downtown Commercial,HPS (High Pressure Sodium),Active,9901.4,120.02,2026-07-31 18:24:11,225.0,1.06,2,56,0
SL-1120,North Residential,HPS (High Pressure Sodium),Active,11183.9,43.76,2026-08-01 16:24:11,222.4,1.12,2,45,1
SL-1121,North Residential,Solar-Hybrid LED,Active,2301.7,12.27,2026-08-30 13:24:11,221.6,0.19,0,21,0
SL-1122,North Residential,LED (Smart),Active,3246.8,24.32,2026-08-20 19:24:11,226.3,0.37,2,24,0
SL-1123,Tech Park Sector 5,Metal Halide,Active,10416.1,26.51,2026-09-04 10:24:11,223.8,0.5,1,31,1
SL-1124,Suburban Ring,HPS (High Pressure Sodium),Active,9961.7,99.09,2026-06-28 16:24:11,228.1,1.12,0,54,0
SL-1125,North Residential,LED (Smart),Active,6507.3,26.93,2026-09-21 10:24:11,225.2,0.37,1,35,0
SL-1126,Industrial Corridor,HPS (High Pressure Sodium),Active,11819.6,106.22,2026-09-21 05:24:11,221.3,1.2,1,55,0
SL-1127,Downtown Commercial,LED (Smart),Active,6348.9,33.95,2026-07-07 08:24:11,222.4,0.4,1,24,1
SL-1128,Harbor Waterfront,LED (Smart),Active,5221.4,24.72,2026-07-17 11:24:11,226.8,0.35,0,31,0
SL-1129,Harbor Waterfront,HPS (High Pressure Sodium),Active,10913.8,101.04,2026-07-01 21:24:11,217.1,1.19,2,26,0
SL-1130,North Residential,LED (Smart),Active,5244.6,35.29,2026-07-06 20:24:11,228.2,0.35,0,37,0
SL-1131,Harbor Waterfront,LED (Smart),Active,6192.9,29.17,2026-08-20 15:24:11,230.0,0.18,1,20,0
SL-1132,Downtown Commercial,HPS (High Pressure Sodium),Maintenance Required,6374.4,105.84,2026-06-28 01:24:11,178.2,1.49,0,63,1
SL-1133,Downtown Commercial,LED (Smart),Active,5346.2,43.27,2026-07-24 15:24:11,225.0,0.45,1,33,0
SL-1134,Downtown Commercial,LED (Smart),Active,4651.2,28.55,2026-06-28 07:24:11,224.5,0.49,0,36,0
SL-1135,North Residential,HPS (High Pressure Sodium),Maintenance Required,10154.2,106.73,2026-08-14 08:24:11,228.2,1.25,0,39,1
SL-1136,North Residential,LED (Smart),Active,4454.2,29.04,2026-07-28 12:24:11,231.3,0.36,0,23,0
SL-1137,Downtown Commercial,LED (Smart),Active,3001.2,30.64,2026-09-21 00:24:11,229.0,0.38,0,33,0
SL-1138,Harbor Waterfront,LED (Smart),Active,436.4,28.34,2026-09-03 08:24:11,229.0,0.41,0,21,0
SL-1139,Suburban Ring,LED (Smart),Active,3712.8,22.59,2026-09-03 09:24:11,219.3,0.34,0,6,0
SL-1140,Downtown Commercial,Metal Halide,Maintenance Required,9941.1,40.86,2026-08-19 13:24:11,183.7,0.7,1,66,1
SL-1141,Industrial Corridor,HPS (High Pressure Sodium),,9552.0,90.58,2026-07-13 15:24:11,221.7,1.1,1,35,1
SL-1142,Suburban Ring,Metal Halide,Maintenance Required,13561.7,45.0,2026-06-26 19:24:11,226.7,0.45,3,50,1
SL-1143,Harbor Waterfront,LED (Smart),Active,4032.6,28.57,2026-07-17 20:24:11,230.2,0.29,1,26,0
SL-1144,Suburban Ring,HPS (High Pressure Sodium),Active,12200.1,65.49,2026-08-02 17:24:11,226.7,1.2,1,65,1
SL-1145,Downtown Commercial,Metal Halide,Inactive,9001.2,34.59,2026-07-24 00:24:11,257.3,0.44,1,71,1
SL-1146,Suburban Ring,HPS (High Pressure Sodium),Active,7991.4,74.27,2026-08-23 20:24:11,226.2,1.07,0,50,0
SL-1147,Industrial Corridor,Metal Halide,Maintenance Required,12794.0,44.64,2026-07-22 11:24:11,225.6,0.4,1,67,1
SL-1148,Industrial Corridor,Solar-Hybrid LED,Maintenance Required,6174.5,17.18,2026-07-08 14:24:11,230.7,0.29,0,21,1
SL-1149,Downtown Commercial,HPS (High Pressure Sodium),Active,7811.3,121.18,2026-08-26 08:24:11,231.2,1.03,1,24,1
SL-1150,Tech Park Sector 5,Solar-Hybrid LED,Active,6030.2,13.74,2026-07-16 13:24:11,222.3,0.24,0,15,0
SL-1151,North Residential,Solar-Hybrid LED,Active,701.4,15.79,2026-09-15 01:24:11,246.4,0.19,0,17,0
SL-1152,Suburban Ring,HPS (High Pressure Sodium),Active,10292.4,109.13,2026-08-26 12:24:11,226.7,1.14,3,42,0
SL-1153,Industrial Corridor,LED (Smart),Maintenance Required,6510.6,34.34,2026-08-10 23:24:11,232.7,0.37,1,17,1
SL-1154,Industrial Corridor,LED (Smart),Active,6891.4,51.93,2026-09-08 01:24:11,227.9,0.27,1,12,0
SL-1155,Suburban Ring,LED (Smart),Active,6999.2,23.13,2026-07-15 23:24:11,232.9,0.38,0,24,0
SL-1156,Tech Park Sector 5,HPS (High Pressure Sodium),Active,9060.3,72.29,2026-08-20 00:24:11,228.6,1.14,1,46,0
SL-1157,Tech Park Sector 5,LED (Smart),Active,6886.2,21.72,2026-08-02 08:24:11,225.5,0.43,0,16,0
SL-1158,North Residential,Metal Halide,Active,8708.1,41.25,2026-08-09 00:24:11,225.9,0.5,2,64,0
SL-1159,North Residential,Solar-Hybrid LED,Maintenance Required,2643.3,15.73,2026-08-09 10:24:11,229.6,0.25,0,15,1
SL-1160,North Residential,HPS (High Pressure Sodium),Active,10837.9,67.43,2026-07-08 20:24:11,224.0,1.14,1,56,0
SL-1161,Tech Park Sector 5,LED (Smart),Maintenance Required,4900.0,22.51,2026-09-02 08:24:11,236.5,0.36,0,14,1
SL-1162,North Residential,LED (Smart),Active,4995.4,31.69,2026-07-22 08:24:11,216.2,0.43,0,18,0
SL-1163,Tech Park Sector 5,LED (Smart),Active,7306.4,23.22,2026-09-07 03:24:11,223.9,0.43,1,33,0
SL-1164,Downtown Commercial,HPS (High Pressure Sodium),Maintenance Required,8636.0,128.25,2026-07-05 04:24:11,230.9,1.12,3,60,1
SL-1165,Industrial Corridor,Metal Halide,Active,7154.6,34.97,2026-07-20 01:24:11,225.6,0.51,0,35,0
SL-1166,Harbor Waterfront,LED (Smart),Active,4134.0,20.68,2026-07-11 20:24:11,218.7,0.22,0,33,0
SL-1167,Suburban Ring,LED (Smart),Active,5752.1,35.93,2026-09-19 06:24:11,215.8,0.4,0,35,0
SL-1168,Industrial Corridor,HPS (High Pressure Sodium),Inactive,8331.4,68.83,2026-07-04 15:24:11,229.3,1.14,4,44,0
SL-1169,Suburban Ring,HPS (High Pressure Sodium),Active,6426.1,89.33,2026-07-05 09:24:11,184.0,1.58,1,47,0
SL-1170,Downtown Commercial,Metal Halide,Active,9903.4,40.64,2026-09-02 10:24:11,259.3,0.5,1,51,1
SL-1171,Downtown Commercial,Metal Halide,Active,11355.2,42.91,2026-08-14 02:24:11,225.8,0.56,1,38,0
SL-1172,Downtown Commercial,Metal Halide,Active,13229.8,35.25,2026-07-16 09:24:11,221.5,0.55,1,40,0
SL-1173,Downtown Commercial,LED (Smart),Active,3849.1,34.22,2026-07-30 12:24:11,229.6,0.36,0,19,0
SL-1174,North Residential,HPS (High Pressure Sodium),Active,9863.1,73.91,2026-08-07 13:24:11,224.1,1.16,0,37,1
SL-1175,Harbor Waterfront,HPS (High Pressure Sodium),Active,13137.6,82.05,2026-08-29 19:24:11,176.4,1.59,2,40,1
SL-1176,North Residential,LED (Smart),Active,2140.8,35.47,2026-07-25 04:24:11,226.2,0.35,0,4,0
SL-1177,Industrial Corridor,HPS (High Pressure Sodium),Active,10515.2,83.75,2026-08-22 10:24:11,220.1,1.09,1,37,0
SL-1178,Downtown Commercial,Metal Halide,Active,7089.3,48.16,2026-07-12 09:24:11,229.2,0.46,1,57,0
SL-1179,North Residential,HPS (High Pressure Sodium),Active,9888.0,66.46,2026-09-14 02:24:11,225.8,1.16,3,52,0
SL-1180,North Residential,Solar-Hybrid LED,Active,4682.0,15.32,2026-07-06 16:24:11,233.9,0.17,0,20,0
SL-1181,Harbor Waterfront,HPS (High Pressure Sodium),Active,9993.3,77.44,2026-09-09 14:24:11,229.4,1.09,0,65,0
SL-1182,Harbor Waterfront,LED (Smart),Active,7718.9,32.22,2026-09-19 00:24:11,222.2,0.46,0,16,0
SL-1183,Tech Park Sector 5,Solar-Hybrid LED,Active,4018.9,12.23,2026-08-12 09:24:11,221.4,0.23,0,24,0
SL-1184,Downtown Commercial,HPS (High Pressure Sodium),Inactive,5686.7,98.48,2026-07-10 23:24:11,219.9,0.99,0,36,0
SL-1185,Industrial Corridor,HPS (High Pressure Sodium),Active,9537.5,96.3,2026-08-05 02:24:11,223.0,1.16,1,43,0
SL-1186,North Residential,LED (Smart),Active,4983.3,28.83,2026-08-13 20:24:11,,0.38,0,28,0
SL-1187,Downtown Commercial,LED (Smart),Active,5123.5,50.17,2026-06-27 19:24:11,222.2,0.39,0,6,0
SL-1188,Suburban Ring,HPS (High Pressure Sodium),Active,13175.8,94.29,2026-07-18 21:24:11,226.5,1.17,0,38,0
SL-1189,Suburban Ring,LED (Smart),Active,3109.1,30.35,2026-08-09 05:24:11,223.9,0.44,0,14,0
SL-1190,Industrial Corridor,LED (Smart),Active,4868.2,31.66,2026-08-01 09:24:11,227.6,0.39,0,36,0
SL-1191,Industrial Corridor,Metal Halide,Maintenance Required,13420.8,25.04,2026-09-01 20:24:11,191.0,0.73,0,31,1
SL-1192,Industrial Corridor,LED (Smart),Active,5397.3,35.12,2026-07-01 15:24:11,226.9,0.34,2,21,0
SL-1193,Tech Park Sector 5,LED (Smart),Active,5812.2,21.45,2026-07-21 21:24:11,226.9,0.46,0,27,0
SL-1194,North Residential,LED (Smart),Active,5643.5,24.74,2026-06-24 18:24:11,223.4,0.42,0,32,0
SL-1195,Harbor Waterfront,Solar-Hybrid LED,Inactive,6209.1,9.36,2026-08-28 05:24:11,218.5,0.32,2,30,1
SL-1196,Downtown Commercial,HPS (High Pressure Sodium),Maintenance Required,11143.8,73.64,2026-07-13 00:24:11,233.9,1.25,4,64,1
SL-1197,Suburban Ring,Metal Halide,Active,11155.0,30.87,2026-07-13 03:24:11,227.4,0.45,3,44,1
SL-1198,Suburban Ring,HPS (High Pressure Sodium),Active,10609.7,99.91,2026-08-12 10:24:11,222.1,1.15,0,26,1
SL-1199,Suburban Ring,LED (Smart),Active,3483.3,34.14,2026-09-01 00:24:11,220.4,0.43,0,9,0
SL-1200,Harbor Waterfront,LED (Smart),Active,3580.4,19.33,2026-07-24 21:24:11,231.6,0.34,2,39,0
SL-1201,Harbor Waterfront,HPS (High Pressure Sodium),Active,8688.1,68.35,2026-08-28 06:24:11,235.4,1.17,0,34,0
SL-1202,Tech Park Sector 5,LED (Smart),Active,4470.2,27.84,2026-09-16 07:24:11,223.1,0.36,0,4,0
SL-1203,Harbor Waterfront,HPS (High Pressure Sodium),Maintenance Required,9486.0,92.27,2026-07-12 04:24:11,228.0,1.2,1,68,1
SL-1204,Harbor Waterfront,HPS (High Pressure Sodium),Maintenance Required,10637.0,88.21,2026-07-12 23:24:11,228.1,1.18,0,63,1
SL-1205,Harbor Waterfront,HPS (High Pressure Sodium),Active,11233.7,92.09,2026-08-30 05:24:11,223.2,1.07,2,67,1
SL-1206,North Residential,HPS (High Pressure Sodium),Active,7900.6,90.82,2026-07-13 09:24:11,218.6,1.11,1,56,0
SL-1207,North Residential,Solar-Hybrid LED,Active,6061.7,15.19,2026-07-14 11:24:11,228.8,0.3,0,16,0
SL-1208,Industrial Corridor,LED (Smart),Active,1796.8,36.51,2026-08-11 23:24:11,219.0,0.3,0,9,0
SL-1209,Industrial Corridor,HPS (High Pressure Sodium),Active,11871.1,100.96,2026-08-17 07:24:11,219.2,1.16,4,25,0
SL-1210,Downtown Commercial,Solar-Hybrid LED,Active,7212.8,23.06,2026-06-25 15:24:11,228.9,0.12,0,18,0
SL-1211,Downtown Commercial,Solar-Hybrid LED,Active,5875.9,21.59,2026-06-24 21:24:11,186.9,0.27,0,25,0
SL-1212,Downtown Commercial,HPS (High Pressure Sodium),Active,9437.5,108.96,2026-06-27 20:24:11,234.5,1.17,2,71,0
SL-1213,Downtown Commercial,HPS (High Pressure Sodium),Active,5689.0,98.03,2026-08-12 14:24:11,224.7,1.14,0,46,0
SL-1214,Industrial Corridor,LED (Smart),Maintenance Required,4312.9,32.01,2026-08-28 10:24:11,229.0,0.46,0,13,1
SL-1215,Suburban Ring,HPS (High Pressure Sodium),Active,,78.5,2026-08-02 15:24:11,229.5,1.21,1,48,0
SL-1216,Harbor Waterfront,LED (Smart),Active,5638.1,23.96,2026-09-19 15:24:11,231.0,0.23,0,25,0
